iter	Passed	Remaining
408	4949	7152
409	4959	7137
410	4969	7121
411	4978	7104
412	4986	7087
413	4996	7072
414	5005	7055
415	5013	7038
416	5022	7022
417	5031	7006
418	5040	6989
419	5049	6973
420	5057	6955
421	5066	6939
422	5075	6923
423	5086	6909
424	5096	6894
425	5105	6879
426	5117	6866
427	5127	6852
428	5138	6839
429	5149	6825
430	5158	6809
431	5166	6792
432	5175	6777
433	5189	6768
434	5227	6789
435	5261	6806
436	5276	6797
437	5288	6785
438	5300	6773
439	5311	6759
440	5322	6746
441	5334	6734
442	5347	6723
443	5363	6716
444	5376	6705
445	5386	6691
446	5399	6680
447	5423	6682
448	5441	6677
449	5463	6677
450	5481	6672
451	5494	6661
452	5506	6648
453	5528	6648
454	5540	6636
455	5556	6628
456	5567	6615
457	5577	6600
458	5588	6587
459	5601	6575
460	5614	6563
461	5628	6554
462	5644	6546
463	5662	6541
464	5679	6534
465	5710	6543
466	5743	6555
467	5775	6565
468	5798	6565
469	5815	6558
470	5828	6546
471	5842	6535
472	5858	6527
473	5870	6514
474	5880	6500
475	5890	6483
476	5898	6467
477	5907	6451
478	5916	6435
479	5924	6418
480	5934	6403
481	5948	6392
482	5966	6387
483	5980	6376
484	5990	6361
485	6001	6347
486	6031	6353
487	6068	6366
488	6089	6363
489	6103	6352
490	6116	6340
491	6127	6326
492	6139	6313
493	6153	6303
494	6164	6289
495	6184	6283
496	6199	6274
497	6213	6263
498	6236	6261
499	6261	6261
500	6286	6261
501	6309	6259
502	6322	6246
503	6336	6235
504	6350	6224
505	6361	6210
506	6371	6195
507	6384	6183
508	6396	6170
509	6406	6154
510	6419	6142
511	6432	6131
512	6447	6120
513	6459	6107
514	6473	6096
515	6487	6085
516	6550	6119
517	6590	6132
518	6618	6133
519	6637	6126
520	6649	6113
521	6662	6100
522	6679	6091
523	6697	6084
524	6710	6071
525	6720	6056
526	6732	6042
527	6743	6027
528	6755	6014
529	6767	6001
530	6780	5989
531	6792	5975
532	6808	5965
533	6819	5951
534	6830	5937
535	6840	5921
536	6848	5904
537	6856	5888
538	6865	5872
539	6874	5855
540	6882	5839
541	6892	5824
542	6900	5807
543	6910	5792
544	6919	5776
545	6928	5761
546	6937	5745
547	6947	5730
548	6957	5715
549	6967	5700
550	6975	5684
551	6984	5668
552	6993	5652
553	7001	5636
554	7011	5621
555	7022	5607
556	7031	5592
557	7040	5576
558	7049	5561
559	7062	5548
560	7076	5537
561	7085	5522
562	7095	5507
563	7103	5491
564	7113	5476
565	7124	5462
566	7133	5447
567	7145	5434
568	7156	5420
569	7165	5405
570	7173	5389
571	7184	5375
572	7193	5360
573	7202	5345
574	7213	5332
575	7223	5317
576	7235	5304
577	7244	5289
578	7253	5274
579	7263	5259
580	7273	5245
581	7281	5229
582	7295	5218
583	7331	5222
584	7357	5219
585	7379	5213
586	7400	5206
587	7422	5201
588	7438	5190
589	7455	5180
590	7473	5172
591	7495	5165
592	7517	5159
593	7545	5157
594	7567	5151
595	7588	5144
596	7606	5134
597	7621	5123
598	7636	5112
599	7649	5099
600	7662	5086
601	7677	5076
602	7704	5072
603	7725	5065
604	7752	5061
605	7779	5058
606	7799	5049
607	7812	5037
608	7826	5024
609	7840	5012
610	7858	5003
611	7881	4996
612	7893	4983
613	7906	4970
614	7915	4955
615	7925	4940
616	7934	4925
617	7941	4909
618	7953	4895
619	7961	4879
620	7970	4864
621	7980	4849
622	7988	4834
623	7999	4820
624	8008	4805
625	8018	4790
626	8034	4779
627	8076	4784
628	8118	4788
629	8146	4784
630	8197	4793
631	8216	4784
632	8232	4773
633	8253	4764
634	8270	4754
635	8284	4741
636	8296	4727
637	8308	4714
638	8318	4699
639	8330	4685
640	8340	4671
641	8350	4656
642	8360	4641
643	8370	4627
644	8379	4612
645	8388	4596
646	8401	4583
647	8412	4570
648	8431	4560
649	8445	4547
650	8459	4535
651	8476	4524
652	8517	4526
653	8594	4547
654	8629	4545
655	8668	4545
656	8690	4536
657	8702	4523
658	8717	4511
659	8741	4503
660	8762	4493
661	8774	4479
662	8785	4465
663	8801	4454
664	8814	4440
665	8827	4427
666	8839	4413
667	8848	4397
668	8858	4382
669	8869	4368
670	8881	4354
671	8892	4340
672	8901	4325
673	8910	4309
674	8918	4294
675	8929	4279
676	8938	4264
677	8947	4249
678	8956	4234
679	8965	4219
680	8976	4205
681	8987	4190
682	8995	4175
683	9005	4160
684	9012	4144
685	9022	4129
686	9032	4115
687	9042	4100
688	9052	4086
689	9062	4071
690	9073	4057
691	9082	4042
692	9091	4027
693	9100	4012
694	9109	3997
695	9117	3982
696	9126	3967
697	9134	3952
698	9144	3937
699	9155	3923
700	9163	3908
701	9173	3894
702	9182	3879
703	9194	3866
704	9205	3851
705	9213	3836
706	9223	3822
707	9237	3809
708	9247	3795
709	9257	3781
710	9266	3766
711	9274	3751
712	9282	3736
713	9290	3721
714	9299	3706
715	9307	3691
716	9317	3677
717	9329	3664
718	9341	3650
719	9350	3636
720	9359	3621
721	9369	3607
722	9378	3593
723	9386	3578
724	9396	3564
725	9406	3550
726	9418	3536
727	9430	3523
728	9439	3509
729	9448	3494
730	9457	3480
731	9466	3465
732	9476	3451
733	9484	3437
734	9493	3422
735	9501	3408
736	9511	3394
737	9520	3379
738	9529	3365
739	9540	3351
740	9547	3337
741	9557	3323
742	9566	3309
743	9575	3294
744	9586	3281
745	9601	3269
746	9611	3255
747	9622	3241
748	9634	3228
749	9642	3214
750	9651	3199
751	9660	3185
752	9669	3171
753	9682	3158
754	9691	3144
755	9699	3130
756	9709	3116
757	9717	3102
758	9726	3088
759	9735	3074
760	9744	3060
761	9753	3046
762	9764	3032
763	9772	3018
764	9781	3004
765	9790	2990
766	9799	2977
767	9809	2963
768	9818	2949
769	9827	2935
770	9841	2923
771	9851	2909
772	9862	2896
773	9870	2882
774	9880	2868
775	9903	2858
776	9923	2848
777	9941	2836
778	9961	2826
779	9974	2813
780	9988	2800
781	10003	2788
782	10019	2776
783	10031	2763
784	10040	2750
785	10050	2736
786	10060	2722
787	10068	2708
788	10077	2694
789	10085	2680
790	10093	2666
791	10102	2653
792	10113	2639
793	10124	2626
794	10134	2613
795	10142	2599
796	10151	2585
797	10160	2571
798	10169	2558
799	10179	2544
800	10187	2530
801	10196	2517
802	10206	2503
803	10215	2490
804	10224	2476
805	10233	2463
806	10242	2449
807	10254	2436
808	10262	2423
809	10272	2409
810	10281	2396
811	10290	2382
812	10300	2369
813	10309	2355
814	10318	2342
815	10329	2329
816	10340	2316
817	10351	2303
818	10363	2290
819	10377	2278
820	10388	2264
821	10398	2251
822	10409	2238
823	10418	2225
824	10427	2211
825	10437	2198
826	10445	2185
827	10456	2172
828	10467	2159
829	10477	2146
830	10487	2132
831	10496	2119
832	10504	2106
833	10513	2092
834	10522	2079
835	10531	2065
836	10539	2052
837	10548	2039
838	10558	2026
839	10567	2012
840	10575	1999
841	10584	1986
842	10593	1972
843	10602	1959
844	10610	1946
845	10619	1933
846	10632	1920
847	10642	1907
848	10651	1894
849	10661	1881
850	10672	1868
851	10683	1855
852	10693	1842
853	10703	1829
854	10713	1816
855	10723	1803
856	10732	1790
857	10741	1777
858	10750	1764
859	10759	1751
860	10767	1738
861	10778	1725
862	10788	1712
863	10798	1699
864	10808	1686
865	10817	1673
866	10825	1660
867	10837	1648
868	10848	1635
869	10858	1622
870	10867	1609
871	10876	1596
872	10888	1584
873	10901	1571
874	10911	1558
875	10919	1545
876	10928	1532
877	10936	1519
878	10946	1506
879	10956	1494
880	10965	1481
881	10974	1468
882	10982	1455
883	10991	1442
