iter	Passed	Remaining
405	5588	8176
406	5601	8160
407	5615	8148
408	5633	8139
409	5645	8123
410	5660	8111
411	5674	8099
412	5689	8086
413	5702	8071
414	5715	8057
415	5730	8045
416	5746	8034
417	5759	8019
418	5772	8004
419	5787	7991
420	5799	7976
421	5814	7963
422	5828	7950
423	5842	7937
424	5855	7922
425	5869	7908
426	5883	7894
427	5895	7879
428	5908	7864
429	5920	7848
430	5933	7832
431	5945	7817
432	5957	7800
433	5968	7783
434	5979	7766
435	5990	7749
436	6002	7732
437	6014	7717
438	6027	7702
439	6040	7687
440	6053	7673
441	6066	7658
442	6079	7643
443	6092	7629
444	6104	7613
445	6115	7596
446	6127	7580
447	6138	7564
448	6152	7550
449	6165	7535
450	6177	7519
451	6189	7503
452	6200	7487
453	6212	7471
454	6224	7455
455	6237	7441
456	6249	7425
457	6262	7411
458	6274	7395
459	6285	7379
460	6297	7362
461	6308	7346
462	6321	7331
463	6334	7317
464	6346	7301
465	6358	7286
466	6373	7274
467	6385	7259
468	6398	7244
469	6411	7230
470	6424	7215
471	6437	7201
472	6450	7186
473	6462	7171
474	6474	7156
475	6488	7142
476	6501	7128
477	6513	7113
478	6526	7098
479	6539	7084
480	6551	7068
481	6564	7054
482	6576	7038
483	6587	7022
484	6599	7007
485	6611	6992
486	6623	6977
487	6635	6961
488	6647	6946
489	6663	6935
490	6679	6924
491	6694	6911
492	6709	6899
493	6724	6887
494	6739	6875
495	6755	6864
496	6770	6851
497	6782	6837
498	6795	6822
499	6808	6808
500	6822	6794
501	6836	6781
502	6848	6767
503	6861	6753
504	6873	6737
505	6886	6723
506	6899	6708
507	6912	6694
508	6928	6683
509	6943	6671
510	6958	6659
511	6974	6647
512	6988	6634
513	7003	6621
514	7020	6611
515	7036	6600
516	7052	6588
517	7068	6576
518	7082	6563
519	7096	6550
520	7108	6535
521	7121	6520
522	7134	6506
523	7145	6491
524	7159	6477
525	7172	6463
526	7186	6449
527	7199	6435
528	7213	6422
529	7226	6408
530	7238	6393
531	7251	6379
532	7264	6365
533	7279	6352
534	7294	6339
535	7308	6326
536	7321	6312
537	7336	6299
538	7352	6288
539	7368	6277
540	7381	6262
541	7394	6248
542	7407	6234
543	7420	6219
544	7432	6205
545	7446	6191
546	7460	6178
547	7474	6165
548	7488	6151
549	7499	6135
550	7510	6120
551	7523	6106
552	7538	6093
553	7555	6082
554	7571	6071
555	7587	6058
556	7604	6048
557	7621	6037
558	7639	6026
559	7658	6017
560	7675	6006
561	7692	5994
562	7707	5982
563	7725	5972
564	7743	5962
565	7762	5952
566	7782	5943
567	7802	5934
568	7821	5924
569	7841	5915
570	7859	5904
571	7880	5896
572	7900	5887
573	7919	5877
574	7940	5869
575	7956	5857
576	7969	5842
577	7982	5828
578	7995	5813
579	8008	5798
580	8019	5783
581	8032	5769
582	8044	5753
583	8055	5738
584	8068	5723
585	8079	5708
586	8091	5693
587	8104	5678
588	8117	5664
589	8129	5649
590	8142	5635
591	8155	5620
592	8166	5605
593	8178	5590
594	8192	5576
595	8204	5561
596	8216	5546
597	8228	5531
598	8241	5517
599	8254	5502
600	8266	5488
601	8278	5473
602	8289	5457
603	8302	5443
604	8314	5428
605	8326	5413
606	8338	5398
607	8350	5384
608	8365	5370
609	8379	5357
610	8391	5342
611	8403	5327
612	8415	5313
613	8428	5298
614	8442	5285
615	8455	5270
616	8467	5255
617	8479	5241
618	8491	5226
619	8503	5211
620	8515	5196
621	8526	5181
622	8538	5166
623	8549	5151
624	8561	5137
625	8575	5123
626	8589	5110
627	8604	5096
628	8616	5082
629	8629	5067
630	8643	5054
631	8656	5040
632	8668	5026
633	8680	5011
634	8694	4997
635	8707	4983
636	8719	4968
637	8731	4954
638	8743	4939
639	8755	4925
